id_queja,id_toma,categoria,descripcion,canal,prioridad,fecha_reporte,descripcion_limpia,largo_texto,categoria_modelo
Q0074844DFE,TE9E2B18053,fuga_calle,"Reporto fuga en la vialidad de 5 de Mayo, el agua corre hacia la esquina.",whatsapp,baja,2025-03-04 05:44:00,"reporto fuga en la vialidad de 5 de mayo, el agua corre hacia la esquina.",73,fuga_calle
Q887CD7661C,T8A0E42EA46,sin_agua,Llevamos hace tres días sin servicio de agua en la privada.,presencial,normal,2026-01-07 12:27:00,llevamos hace tres días sin servicio de agua en la privada.,59,sin_agua
Q5EA047BBA8,T0A0805FB46,fuga_calle,"Tiene desde el lunes brotando agua del pavimento en Reforma, ya se hizo un charco grande.",telefono,normal,2026-08-02 03:42:00,"tiene desde el lunes brotando agua del pavimento en reforma, ya se hizo un charco grande.",89,fuga_calle
QA76004D494,TE03815B898,sin_agua,Llevamos desde el lunes sin servicio de agua en la privada.,whatsapp,alta,2025-12-15 16:21:00,llevamos desde el lunes sin servicio de agua en la privada.,59,sin_agua
Q42551A5BAE,TBBD0028CDB,fuga_calle,Fuga en la banqueta de Allende. El agua no para y huele mal.,telefono,normal,2026-05-18 22:14:00,fuga en la banqueta de allende. el agua no para y huele mal.,60,fuga_calle
QD83162C95E,TDFD739AFF7,sin_agua,"No llega agua a mi domicilio desde la semana pasada, los vecinos igual.",telefono,urgente,2026-01-09 02:40:00,"no llega agua a mi domicilio desde la semana pasada, los vecinos igual.",71,sin_agua
Q1423CC43A4,TE4BF83F9A5,facturacion,"El recibo trae un consumo que no corresponde, somos pocos en casa.",telefono,baja,2025-11-26 04:12:00,"el recibo trae un consumo que no corresponde, somos pocos en casa.",66,facturacion
Q23451F67FB,T7AE1E63696,sin_agua,"Sin abasto en toda la calle Matamoros, nadie tiene agua.",portal,baja,2025-06-22 04:32:00,"sin abasto en toda la calle matamoros, nadie tiene agua.",56,sin_agua
QC8D7886B56,TD10A6EDCA0,atencion,Mal trato del personal al preguntar por mi aclaración.,telefono,alta,2024-07-18 18:33:00,mal trato del personal al preguntar por mi aclaración.,54,atencion
Q1EC15A986F,T28A5C3A212,sin_agua,"Sin abasto en toda la calle Juárez, nadie tiene agua.",presencial,normal,2024-03-23 04:31:00,"sin abasto en toda la calle juárez, nadie tiene agua.",53,sin_agua
Q46345D39C5,TF357DF2C85,fuga_toma,Creo que tengo una fuga: cerré todo y el medidor sigue girando.,whatsapp,normal,2026-04-26 17:10:00,creo que tengo una fuga: cerré todo y el medidor sigue girando.,63,fuga_toma
Q20CC789B41,T6EBEC2B9E3,fuga_toma,  La  llave  de banqueta gotea sin parar desde hace varios días.,telefono,baja,2025-12-28 21:40:00,la llave de banqueta gotea sin parar desde hace varios días.,60,fuga_toma
Q898A4C31F1,TEEB9050E6F,sin_agua,"NO LLEGA AGUA A MI DOMICILIO DESDE HACE TRES DÍAS, LOS VECINOS IGUAL.",portal,normal,2026-08-12 08:05:00,"no llega agua a mi domicilio desde hace tres días, los vecinos igual.",69,sin_agua
Q9F35D0C474,T042B2178D1,sin_agua,Llevamos el fin de semana sin servicio de agua en la privada.,portal,normal,2025-02-22 23:16:00,llevamos el fin de semana sin servicio de agua en la privada.,61,sin_agua
Q86B4929CCC,T5F78380FF1,sin_agua,"No llega agua a mi domicilio desde el fin de semana, los vecinos igual.",whatsapp,normal,2025-10-28 06:16:00,"no llega agua a mi domicilio desde el fin de semana, los vecinos igual.",71,sin_agua
QA3C12058BA,T9C284C6EDE,facturacion,"El recibo trae un consumo que no corresponde, somos pocos en casa.",telefono,baja,2026-03-27 03:32:00,"el recibo trae un consumo que no corresponde, somos pocos en casa.",66,facturacion
Q031823BB69,T136877D852,fuga_toma,Me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,telefono,normal,2024-12-07 06:30:00,me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,67,fuga_toma
QBF6237F527,TE9E2B18053,calidad_agua,"Huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",presencial,normal,2025-03-25 21:32:00,"huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",65,calidad_agua
QBFB700A89B,T7E561E41DF,medidor,EL MEDIDOR MARCA CONSUMOS ALTÍSIMOS Y SOMOS DOS PERSONAS.,whatsapp,normal,2026-02-16 18:41:00,el medidor marca consumos altísimos y somos dos personas.,57,medidor
QA0DFEE9CD0,T83C53CBDE3,atencion,Fui a ventanilla y nadie me supo dar información de mi trámite.,telefono,normal,2026-04-08 23:42:00,fui a ventanilla y nadie me supo dar información de mi trámite.,63,atencion
Q3379BD8635,T6DD01C39D7,fuga_calle,"Tiene ayer brotando agua del pavimento en Allende, ya se hizo un charco grande.",whatsapp,normal,2026-05-26 08:21:00,"tiene ayer brotando agua del pavimento en allende, ya se hizo un charco grande.",79,fuga_calle
Q9F1438F4A7,TE380DFCDD5,sin_agua,Tercer día sin agua. Necesitamos saber cuándo se restablece.,portal,alta,2024-09-12 00:40:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
Q5DD1770C6A,T02BF3919B7,baja_presion,"Desde ayer el chorro sale débil, sobre todo en la mañana.",whatsapp,alta,2024-06-13 06:38:00,"desde ayer el chorro sale débil, sobre todo en la mañana.",57,baja_presion
Q23C64AD128,T37BA3005AD,sin_agua,"Sin abasto en toda la calle Independencia, nadie tiene agua.",telefono,baja,2025-09-10 04:35:00,"sin abasto en toda la calle independencia, nadie tiene agua.",60,sin_agua
Q8C0AA33913,TB13246DF04,fuga_toma,CREO QUE TENGO UNA FUGA: CERRÉ TODO Y EL MEDIDOR SIGUE GIRANDO.,portal,baja,2024-01-13 14:44:00,creo que tengo una fuga: cerré todo y el medidor sigue girando.,63,fuga_toma
QBC9CFA1DB5,TD4AA44C620,sin_agua,"No llega agua a mi domicilio desde ayer, los vecinos igual.",telefono,normal,2025-07-24 02:26:00,"no llega agua a mi domicilio desde ayer, los vecinos igual.",59,sin_agua
QE65F4C3E1F,T5F78380FF1,fuga_toma,La llave de banqueta gotea sin parar desde el fin de semana.,telefono,normal,2024-08-22 11:37:00,la llave de banqueta gotea sin parar desde el fin de semana.,60,fuga_toma
QDB202F7E30,TC54C99BA73,fuga_toma,  Hay  humedad  y agua acumulada junto al medidor de mi casa.,whatsapp,baja,2025-01-13 02:36:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
Q47B6D56DD8,TC36C8FB548,calidad_agua,El agua sale turbia y con tierra desde hace dos semanas.,telefono,normal,2025-07-02 23:26:00,el agua sale turbia y con tierra desde hace dos semanas.,56,calidad_agua
Q2464BE7F41,T0EAA0EDBAF,drenaje,Hay aguas negras saliendo de la coladera de la esquina.,telefono,normal,2025-05-09 02:10:00,hay aguas negras saliendo de la coladera de la esquina.,55,drenaje
Q5923C6257B,T45A3829C6C,drenaje,Se regresa el agua del drenaje hacia mi patio desde desde el lunes.,presencial,normal,2024-01-18 02:40:00,se regresa el agua del drenaje hacia mi patio desde desde el lunes.,67,drenaje
Q943938C923,TFAE2AFD636,fuga_toma,Hay humedad y agua acumulada junto al medidor de mi casa.,whatsapp,baja,2025-01-20 06:05:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
Q348AA02820,TD81C7B0AC7,facturacion,MI RECIBO LLEGÓ CON UN COBRO MUCHO MÁS ALTO DE LO NORMAL.,portal,normal,2025-11-16 22:27:00,mi recibo llegó con un cobro mucho más alto de lo normal.,57,facturacion
Q4702363409,T132EB7CE2B,sin_agua,LLEVAMOS HACE VARIOS DÍAS SIN SERVICIO DE AGUA EN LA PRIVADA.,telefono,baja,2025-02-13 01:59:00,llevamos hace varios días sin servicio de agua en la privada.,61,sin_agua
Q462A97E3CF,TBE3328794F,sin_agua,"Sin abasto en toda la calle Reforma, nadie tiene agua.",whatsapp,urgente,2026-07-15 12:31:00,"sin abasto en toda la calle reforma, nadie tiene agua.",54,sin_agua
Q4FEA727249,T603C6A7DDF,calidad_agua,"El agua trae sedimento, se ve el fondo del vaso sucio.",portal,alta,2026-06-18 08:23:00,"el agua trae sedimento, se ve el fondo del vaso sucio.",54,calidad_agua
Q134D96AD29,TAD0E244201,atencion,Mal trato del personal al preguntar por mi aclaración.,telefono,normal,2024-08-30 20:56:00,mal trato del personal al preguntar por mi aclaración.,54,atencion
Q27121B0080,T716C530DED,sin_agua,Tercer día sin agua. Necesitamos saber cuándo se restablece.,portal,normal,2024-12-08 02:28:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
Q01CEA379E1,T7AE1E63696,fuga_calle,"Hay agua saliendo en la calle Zaragoza desde la semana pasada, se está tirando toda.",presencial,normal,2025-03-30 04:04:00,"hay agua saliendo en la calle zaragoza desde la semana pasada, se está tirando toda.",84,fuga_calle
QC50538724D,T5C22EC11B8,fuga_toma,Creo que tengo una fuga: cerré todo y el medidor sigue girando.,telefono,alta,2024-06-11 04:34:00,creo que tengo una fuga: cerré todo y el medidor sigue girando.,63,fuga_toma
Q7099950B81,TCF1A6CDF80,fuga_toma,Hay humedad y agua acumulada junto al medidor de mi casa.,telefono,normal,2024-08-01 06:09:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
Q75CF3A17DD,T5740214D00,fuga_toma,La llave de banqueta gotea sin parar desde el fin de semana.,presencial,baja,2026-05-15 18:28:00,la llave de banqueta gotea sin parar desde el fin de semana.,60,fuga_toma
QD632A1BA93,T8D847ABAD5,sin_agua,"Sin abasto en toda la calle Allende, nadie tiene agua.",telefono,normal,2025-08-16 21:26:00,"sin abasto en toda la calle allende, nadie tiene agua.",54,sin_agua
QB90D88B3C0,T0F2B41D96D,sin_agua,Tercer día sin agua. Necesitamos saber cuándo se restablece.,portal,alta,2026-08-21 16:45:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
Q71F1097C83,T260F6D657D,calidad_agua,"Huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",telefono,alta,2026-01-29 02:14:00,"huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",65,calidad_agua
Q79F699B7AF,T3AF0CA5142,sin_agua,Tercer día sin agua. Necesitamos saber cuándo se restablece.,presencial,normal,2024-11-13 15:35:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
QDAE2DF3F78,T5BEF82BC17,facturacion,"El recibo trae un consumo que no corresponde, somos pocos en casa.",presencial,baja,2024-06-07 17:21:00,"el recibo trae un consumo que no corresponde, somos pocos en casa.",66,facturacion
QC6F712F25B,TBBD0028CDB,drenaje,El drenaje de Allende está desbordado y huele muy mal.,whatsapp,normal,2025-02-02 06:52:00,el drenaje de allende está desbordado y huele muy mal.,54,drenaje
Q5151267C92,T2A7B7C0706,facturacion,Mi recibo llegó con un cobro mucho más alto de lo normal.,telefono,normal,2025-04-17 12:50:00,mi recibo llegó con un cobro mucho más alto de lo normal.,57,facturacion
Q55C2202E3B,TDCBC842E3A,fuga_calle,Fuga en la banqueta de 5 de Mayo. El agua no para y huele mal.,portal,normal,2024-02-25 23:21:00,fuga en la banqueta de 5 de mayo. el agua no para y huele mal.,62,fuga_calle
Q0BFFD49515,TCDF5CCF9D1,fuga_toma,Me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,telefono,alta,2024-06-11 12:53:00,me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,67,fuga_toma
QA974AC3CE1,T5446AB5D4F,sin_agua,"Sin abasto en toda la calle Guerrero, nadie tiene agua.",telefono,alta,2024-02-19 04:38:00,"sin abasto en toda la calle guerrero, nadie tiene agua.",55,sin_agua
QE73628BC3A,T0FA07C2AE6,fuga_toma,Hay humedad y agua acumulada junto al medidor de mi casa.,presencial,normal,2025-01-12 21:27:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
Q800C6D6B40,T5740214D00,facturacion,Mi recibo llegó con un cobro mucho más alto de lo normal.,whatsapp,alta,2024-05-07 10:09:00,mi recibo llegó con un cobro mucho más alto de lo normal.,57,facturacion
Q16E0AC8995,TE4BF83F9A5,calidad_agua,"Huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",telefono,normal,2026-06-02 09:10:00,"huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",65,calidad_agua
QBB8DE14CCA,T39FECD2D40,calidad_agua,"El agua trae sedimento, se ve el fondo del vaso sucio.",portal,baja,2025-10-04 06:40:00,"el agua trae sedimento, se ve el fondo del vaso sucio.",54,calidad_agua
Q353EBBE4F1,T824A68B378,fuga_toma,Me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,telefono,normal,2025-07-11 17:35:00,me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,67,fuga_toma
Q53BE1216D9,T575100FEE6,fuga_calle,Fuga en la banqueta de Morelos. El agua no para y huele mal.,telefono,normal,2025-08-10 15:51:00,fuga en la banqueta de morelos. el agua no para y huele mal.,60,fuga_calle
Q1F377C7AAD,T17B01CE93D,fuga_toma,LA LLAVE DE BANQUETA GOTEA SIN PARAR DESDE HACE TRES DÍAS.,telefono,urgente,2025-02-15 18:33:00,la llave de banqueta gotea sin parar desde hace tres días.,58,fuga_toma
Q062237E275,TCE4F3C1854,baja_presion,"EL AGUA LLEGA CON MUY POCA PRESIÓN, NO SUBE AL TINACO.",portal,baja,2024-07-09 20:48:00,"el agua llega con muy poca presión, no sube al tinaco.",54,baja_presion
Q4C5A8BA2DE,TE8DF4BFC62,fuga_calle,"Reporto fuga en la vialidad de Guerrero, el agua corre hacia la esquina.",telefono,normal,2025-04-05 08:41:00,"reporto fuga en la vialidad de guerrero, el agua corre hacia la esquina.",72,fuga_calle
QBCD78D71DA,T626DE7D352,fuga_toma,Creo que tengo una fuga: cerré todo y el medidor sigue girando.,presencial,alta,2024-06-13 20:10:00,creo que tengo una fuga: cerré todo y el medidor sigue girando.,63,fuga_toma
Q019715E6A7,T8C8BD1D187,medidor,El medidor marca consumos altísimos y somos dos personas.,portal,normal,2024-11-11 00:39:00,el medidor marca consumos altísimos y somos dos personas.,57,medidor
QEBB260487B,T75445AB825,facturacion,Pagué en línea y el recibo sigue apareciendo como pendiente.,portal,urgente,2025-08-11 09:34:00,pagué en línea y el recibo sigue apareciendo como pendiente.,60,facturacion
Q45A3307B33,T28A5C3A212,fuga_calle,"Tiene hace dos semanas brotando agua del pavimento en Zaragoza, ya se hizo un charco grande.",telefono,alta,2025-10-05 21:45:00,"tiene hace dos semanas brotando agua del pavimento en zaragoza, ya se hizo un charco grande.",92,fuga_calle
QBCFA5ED552,T02BF3919B7,fuga_toma,CREO QUE TENGO UNA FUGA: CERRÉ TODO Y EL MEDIDOR SIGUE GIRANDO.,presencial,normal,2026-02-06 01:49:00,creo que tengo una fuga: cerré todo y el medidor sigue girando.,63,fuga_toma
Q1B33C4AF47,TEC586A8374,fuga_toma,Hay humedad y agua acumulada junto al medidor de mi casa.,portal,normal,2024-01-10 20:08:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
Q7300B988F4,T3AF0CA5142,fuga_toma,Me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,telefono,baja,2025-07-23 14:13:00,me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,67,fuga_toma
QA54453B63F,T2631941D4D,drenaje,El drenaje de Juárez está desbordado y huele muy mal.,whatsapp,normal,2025-01-04 13:56:00,el drenaje de juárez está desbordado y huele muy mal.,53,drenaje
QBE9EBCD4AC,TCF1A6CDF80,facturacion,PAGUÉ EN LÍNEA Y EL RECIBO SIGUE APARECIENDO COMO PENDIENTE.,whatsapp,normal,2025-01-05 13:19:00,pagué en línea y el recibo sigue apareciendo como pendiente.,60,facturacion
Q57BADD590D,T761C9E26E6,fuga_toma,La llave de banqueta gotea sin parar desde el fin de semana.,telefono,baja,2024-08-10 18:49:00,la llave de banqueta gotea sin parar desde el fin de semana.,60,fuga_toma
Q55CB6BACD1,T1753290875,facturacion,Pagué en línea y el recibo sigue apareciendo como pendiente.,whatsapp,baja,2024-10-15 05:56:00,pagué en línea y el recibo sigue apareciendo como pendiente.,60,facturacion
QF196F91D3D,T48829C6681,fuga_calle,Fuga en la banqueta de Reforma. El agua no para y huele mal.,presencial,alta,2025-04-07 03:38:00,fuga en la banqueta de reforma. el agua no para y huele mal.,60,fuga_calle
QD26E6ED8B2,T9BABD62590,sin_agua,"SIN ABASTO EN TODA LA CALLE 5 DE MAYO, NADIE TIENE AGUA.",telefono,urgente,2025-11-14 06:13:00,"sin abasto en toda la calle 5 de mayo, nadie tiene agua.",56,sin_agua
Q0222CBDE57,T6EE7490E19,fuga_calle,"  Tiene  la  semana pasada brotando agua del pavimento en Morelos, ya se hizo un charco grande.",telefono,alta,2026-07-20 04:42:00,"tiene la semana pasada brotando agua del pavimento en morelos, ya se hizo un charco grande.",91,fuga_calle
QD0B6FC9539,T132EB7CE2B,baja_presion,"El agua llega con muy poca presión, no sube al tinaco.",whatsapp,normal,2024-09-18 05:36:00,"el agua llega con muy poca presión, no sube al tinaco.",54,baja_presion
Q138A7F49D0,T7A263D97A8,medidor,El medidor no marca nada aunque sí tengamos agua.,presencial,normal,2025-02-22 13:01:00,el medidor no marca nada aunque sí tengamos agua.,49,medidor
Q261FDBBD7C,T136877D852,baja_presion,"Desde la semana pasada el chorro sale débil, sobre todo en la mañana.",whatsapp,normal,2025-12-03 16:25:00,"desde la semana pasada el chorro sale débil, sobre todo en la mañana.",69,baja_presion
QDD1A2B6719,T5740214D00,fuga_toma,Hay humedad y agua acumulada junto al medidor de mi casa.,whatsapp,normal,2024-03-26 07:06:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
Q1DCE2AFE9B,T6453265506,medidor,"Se llevaron el medidor de mi toma, ya no está en la caja.",telefono,alta,2024-11-21 02:58:00,"se llevaron el medidor de mi toma, ya no está en la caja.",57,medidor
Q9463BAE3B9,T711A4FB3DC,fuga_toma,Hay humedad y agua acumulada junto al medidor de mi casa.,telefono,alta,2024-06-19 16:50:00,hay humedad y agua acumulada junto al medidor de mi casa.,57,fuga_toma
QD6337B0781,TE7328B9E12,fuga_toma,ME SALE AGUA POR LA TOMA DE MI DOMICILIO AUNQUE TENGA TODO CERRADO.,portal,normal,2025-06-03 12:32:00,me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,67,fuga_toma
Q63B1A53320,TCF1A6CDF80,sin_agua,"No llega agua a mi domicilio desde hace tres días, los vecinos igual.",portal,baja,2024-06-10 00:19:00,"no llega agua a mi domicilio desde hace tres días, los vecinos igual.",69,sin_agua
QBE242D28B2,TA7CD008CD2,fuga_calle,"Hay agua saliendo en la calle Matamoros desde el fin de semana, se está tirando toda.",telefono,normal,2026-05-29 03:12:00,"hay agua saliendo en la calle matamoros desde el fin de semana, se está tirando toda.",85,fuga_calle
QCF3DF1390A,TF9F158A927,fuga_calle,"Reporto fuga en la vialidad de Independencia, el agua corre hacia la esquina.",telefono,normal,2024-09-22 05:46:00,"reporto fuga en la vialidad de independencia, el agua corre hacia la esquina.",77,fuga_calle
Q2A7882E8D0,T0CE7987E4B,calidad_agua,  El  agua  sale turbia y con tierra desde desde el lunes.,whatsapp,normal,2025-02-05 15:12:00,el agua sale turbia y con tierra desde desde el lunes.,54,calidad_agua
Q9A807FE57C,T7E561E41DF,sin_agua,"Sin abasto en toda la calle 5 de Mayo, nadie tiene agua.",portal,baja,2024-12-12 10:48:00,"sin abasto en toda la calle 5 de mayo, nadie tiene agua.",56,sin_agua
Q4F8B66F7BB,T7C1EBC3C4C,medidor,El medidor marca consumos altísimos y somos dos personas.,presencial,alta,2024-02-21 11:06:00,el medidor marca consumos altísimos y somos dos personas.,57,medidor
Q053574FF9A,TC44518846F,sin_agua,  Tercer  día  sin agua. Necesitamos saber cuándo se restablece.,presencial,alta,2024-06-04 23:52:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
Q6827C75B81,TDC0B728E72,facturacion,"El recibo trae un consumo que no corresponde, somos pocos en casa.",telefono,baja,2024-05-22 18:49:00,"el recibo trae un consumo que no corresponde, somos pocos en casa.",66,facturacion
Q50D0BE58A7,T575100FEE6,fuga_toma,Me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,presencial,alta,2024-08-05 09:52:00,me sale agua por la toma de mi domicilio aunque tenga todo cerrado.,67,fuga_toma
Q35D54EE0C2,T6BE1C12D07,drenaje,El drenaje de Zaragoza está desbordado y huele muy mal.,telefono,normal,2026-07-20 19:18:00,el drenaje de zaragoza está desbordado y huele muy mal.,55,drenaje
QB90A5746D6,T84CC232045,facturacion,Mi recibo llegó con un cobro mucho más alto de lo normal.,telefono,normal,2026-01-09 20:31:00,mi recibo llegó con un cobro mucho más alto de lo normal.,57,facturacion
Q7A3FDD387F,T85C4B9E9BD,facturacion,"  El  recibo  trae un consumo que no corresponde, somos pocos en casa.",whatsapp,normal,2025-05-17 18:16:00,"el recibo trae un consumo que no corresponde, somos pocos en casa.",66,facturacion
Q1B2600FA9F,T132EB7CE2B,baja_presion,"El agua llega con muy poca presión, no sube al tinaco.",telefono,normal,2026-08-29 00:41:00,"el agua llega con muy poca presión, no sube al tinaco.",54,baja_presion
Q60B58FF098,TC9C584B8EF,facturacion,Me están cobrando un periodo que ya había pagado en ventanilla.,telefono,baja,2024-09-17 06:31:00,me están cobrando un periodo que ya había pagado en ventanilla.,63,facturacion
QB47E83D07B,T48E474E620,drenaje,"Registro de alcantarillado tapado en Independencia, escurre a la calle.",whatsapp,alta,2026-03-11 03:36:00,"registro de alcantarillado tapado en independencia, escurre a la calle.",71,drenaje
QD6C10EAD39,T83C53CBDE3,calidad_agua,"Huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",portal,baja,2024-04-15 05:44:00,"huele a cloro muy fuerte y sabe raro, no nos atrevemos a tomarla.",65,calidad_agua
Q2BC8C67001,TFB5558315C,fuga_calle,"Reporto fuga en la vialidad de Independencia, el agua corre hacia la esquina.",presencial,normal,2026-03-18 06:13:00,"reporto fuga en la vialidad de independencia, el agua corre hacia la esquina.",77,fuga_calle
Q58D33DA46C,T44C452513D,fuga_calle,Fuga en la banqueta de 5 de Mayo. El agua no para y huele mal.,telefono,normal,2025-10-09 12:04:00,fuga en la banqueta de 5 de mayo. el agua no para y huele mal.,62,fuga_calle
Q92E216091D,T812E69DF24,fuga_toma,La llave de banqueta gotea sin parar desde ayer.,whatsapp,normal,2026-05-24 17:23:00,la llave de banqueta gotea sin parar desde ayer.,48,fuga_toma
Q25A57B73C0,T7436A106AE,drenaje,El drenaje de Guerrero está desbordado y huele muy mal.,telefono,baja,2025-04-10 16:15:00,el drenaje de guerrero está desbordado y huele muy mal.,55,drenaje
QBA0D97CFC8,TE13FCEC631,fuga_toma,LA LLAVE DE BANQUETA GOTEA SIN PARAR DESDE HACE TRES DÍAS.,presencial,urgente,2025-07-26 16:15:00,la llave de banqueta gotea sin parar desde hace tres días.,58,fuga_toma
QABD224384F,T78A401EEAD,medidor,"Mi medidor está roto, el cristal quebrado y no se lee.",telefono,normal,2024-08-31 14:49:00,"mi medidor está roto, el cristal quebrado y no se lee.",54,medidor
QF7BC918C3F,T603C6A7DDF,fuga_calle,"HAY AGUA SALIENDO EN LA CALLE MATAMOROS DESDE AYER, SE ESTÁ TIRANDO TODA.",telefono,normal,2026-02-22 11:52:00,"hay agua saliendo en la calle matamoros desde ayer, se está tirando toda.",73,fuga_calle
QB1CF49F389,T980F08905D,sin_agua,Llevamos la semana pasada sin servicio de agua en la privada.,portal,normal,2024-08-30 18:22:00,llevamos la semana pasada sin servicio de agua en la privada.,61,sin_agua
Q6EC773F2EC,T013C0F8B57,facturacion,Pagué en línea y el recibo sigue apareciendo como pendiente.,presencial,normal,2024-02-06 07:23:00,pagué en línea y el recibo sigue apareciendo como pendiente.,60,facturacion
Q9BEE8DAAA4,T0380D1AD85,fuga_calle,FUGA EN LA BANQUETA DE HIDALGO. EL AGUA NO PARA Y HUELE MAL.,portal,normal,2024-08-15 23:56:00,fuga en la banqueta de hidalgo. el agua no para y huele mal.,60,fuga_calle
QA758B6D180,T02BF3919B7,baja_presion,"  No  alcanza  presión para el calentador, el agua llega sin fuerza.",presencial,alta,2024-02-09 05:52:00,"no alcanza presión para el calentador, el agua llega sin fuerza.",64,baja_presion
QE8F3458E60,T6EBEC2B9E3,fuga_toma,La llave de banqueta gotea sin parar desde la semana pasada.,portal,alta,2024-01-03 00:28:00,la llave de banqueta gotea sin parar desde la semana pasada.,60,fuga_toma
